Column1,v_id,v_title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount,category
0,OQfwIaKnvLQ,نحن والإباحية.. مع سعود الحسّاني,10/15/2020,بودكاست مربَّع,61349,2110,50,377,talkshow
1,pmCOAue-zsE,"كيف تعمل العملات الرقمية وماهو ""بلوك تشين"" و""بيتكوين"" بالضبط؟؟ مع محمود يار",9/24/2020,بودكاست مربَّع,14382,394,17,26,talkshow
2,koz3GG3atWg,بودكاست مربع | سوق الأسهم 101.. مع صلاح خاشقجي,7/30/2020,بودكاست مربَّع,215575,4342,182,327,talkshow
3,MMDF1AGW3vg,الجزء الثاني: النسوية دين بلا إله.. مع عدنان معتوق,11/13/2020,بودكاست مربَّع,75220,2656,96,604,talkshow
4,FEwIjsZLWmQ,#بودكاست_مربع | تجربة في التأليف.. وقصة التسع كتب في تسع سنين. مع عبدالله العجيري,10/23/2019,بودكاست مربَّع,154311,4425,101,493,talkshow
5,1PYktRKE4UY,الخلاف مع الوالدين.. كيف نفهمه ونعيش معه؟ مع د.هبة حريري,10/22/2020,بودكاست مربَّع,24480,918,24,63,talkshow
6,_mgpsq4rdCY,#بودكاست_مربع | ما الذي يحدث في جلسة علاج نفسي؟ وكيف يفكر الأخصائي؟.. مع د. أروى عرب,11/14/2019,بودكاست مربَّع,24585,817,25,105,talkshow
7,3wZDPSB9Tus,"بودكاست مربع | كيف نشأت العلوم الشرعية؟ وكيف تؤثر ""أصول الفقه"" في حياتنا اليومية؟ مع عبيد الظاهري",9/27/2019,بودكاست مربَّع,56794,2135,35,239,talkshow
8,KgvcSHbREdE,بودكاست مربع | النسوية دينٌ بلا إله.. مع عدنان معتوق,11/6/2020,بودكاست مربَّع,165574,5400,322,1046,talkshow
9,svc_VanszDQ,بودكاست مربع | أن تغير مسار حياتك كليا.. بعد ٧ سنوات طب. مع أبيّ البشير,10/4/2019,بودكاست مربَّع,18687,556,15,43,talkshow
10,NwIZCnnv9KU,يسكن المدينة وفي قلبه قرية.. مع علي شنيمر,4/28/2021,بودكاست مربَّع,4618,168,3,11,talkshow
11,icsvV-CK-as,#بودكاست_مربع: رحلة حول المملكة.. رحلة حول الذات.. رحلة في حياة الناس.. مع محمد المطيري,8/1/2019,بودكاست مربَّع,43820,1123,45,164,talkshow
12,3Yw4ucGbsIY,بودكاست مربع | المسير خارج جنة عدن.. مع محمد بنونة,8/6/2020,بودكاست مربَّع,231493,3845,312,463,talkshow
13,q-_xDLOMABM,أربعون رجلًا ماتوا من أجل قهوة! مع ماجد الأهدل,4/9/2021,بودكاست مربَّع,21657,776,32,111,talkshow
14,U7iNu8OjnhQ,رسالته في الحياة تضييع وقت الناس! مع فادي يحيى,9/30/2020,بودكاست مربَّع,10154,325,8,35,talkshow
15,e6W_8bKtwJE,وهم العبقرية وكذبة الشغف.. مع عبدالرحمن سفر,9/17/2020,بودكاست مربَّع,28101,751,48,80,talkshow
16,2Df2TRYy8pc,بودكاست مربع | المطاوعة الكول.. و١٠ سنوات لشهادة بكالوريس.. مع راكان عسيري,10/17/2019,بودكاست مربَّع,63553,1359,124,340,talkshow
17,bvEheY59GrI,لن تصبح ستيف جوبز!! مع فواز سعد,4/14/2021,بودكاست مربَّع,14307,370,18,39,talkshow
18,y3h3yviO8Wg,بودكاست مربع | كورونا! نخاف ولا ما نخاف؟ مع د. نزار باهبري,3/16/2020,بودكاست مربَّع,28847,575,31,45,talkshow
19,8bAL8hcippw,التاريخ الاجتماعي لمؤرخ اجتماعي.. مع منصور العساف,8/20/2020,بودكاست مربَّع,9009,218,8,25,talkshow
20,2sjEOMa2Ay8,حتى لاتكون مسخًا.. مع عبدالله عادل,11/19/2020,بودكاست مربَّع,28946,930,64,180,talkshow
21,nBOX86dLtIw,لتجعلها السنة الأخيرة وانت دبٌّ.. مع جمانة جلال,12/30/2020,بودكاست مربَّع,16222,508,24,98,talkshow
22,4AKYj1eB3wE,بودكاست مربع | من طفولة في بيت نصيف.. إلى حياة بلا أعداء. مع العم عبدالعزيز نصيف,10/31/2019,بودكاست مربَّع,6066,157,5,41,talkshow
23,sYEcIQFdnGo,"مع سيف القرعاوي - 1:3:19, 1.39 PM",1/5/2019,بودكاست مربَّع,3214,61,3,16,talkshow
24,U2pewLTw_08,السفر إلى المكسيكيين.. لا المكسيك.. مع سيف القرعاوي,8/26/2020,بودكاست مربَّع,22753,481,39,81,talkshow
25,PsXQ115U_q0,أن تجد معنى لحياتك.. مع محمد عبداللطيف,12/16/2020,بودكاست مربَّع,17070,477,43,90,talkshow
26,sfzS7HbgFyI,"نقاش مع ماجد الأهدل حول اختيار اسم البودكاست، عن الهويات والتسمية واللغة..١: #بودكاست مربع",11/5/2018,بودكاست مربَّع,2781,108,2,13,talkshow
27,D63-w2CWUUs,بودكاست مربع | كيف تتأثر حياتك ومشاعرك وقراراتك بالحداثة السائلة؟ مع الغازي محمد,4/10/2020,بودكاست مربَّع,5581,251,4,19,talkshow
28,3Q4BA1mRc4E,رحلة بين جيلين.. مع هتون قاضي,4/21/2021,بودكاست مربَّع,8633,292,23,39,talkshow
29,18DNlUW8vyw,١٤- الإعلان عبر المشاهير بدأ منذ بداية البشرية وسيستمر ليوم القيامة! مع أنس عبده,3/28/2019,بودكاست مربَّع,659,26,0,4,talkshow
30,9TbPmPNwWqw,درهم تعزيز صحة خيرٌ من قنطار أمراض! مع د.صالح الأنصاري,10/7/2020,بودكاست مربَّع,7908,260,9,32,talkshow
31,qbqjdmzlRaQ,٢٤: من عمق قصة حياة سلمان ابن البلد.. كيف يعيش بين هويتين؟,6/13/2019,بودكاست مربَّع,17641,330,21,42,talkshow
32,A1cUwA79kT8,بودكاست مربع | ليش الشركات الكبيرة تسوّق مع انها ما تحتاج تسويق؟ مع د. ثامر باعظيم,3/25/2020,بودكاست مربَّع,3208,102,6,10,talkshow
33,DnhBVgZyS6U,بودكاست مربع |  الحوسة الفكرية لشاب عادي.. مع محمود زيني,9/19/2019,بودكاست مربَّع,7812,240,16,60,talkshow
34,QPXGRFHFPvk,قصة متحف الشريف.. مع علي الشريف,5/6/2021,بودكاست مربَّع,2731,94,3,18,talkshow
35,bac2U8MY-iE,بودكاست مربع | التفكير كمبرمج أدخله عالم الضيافة.. مع علي العامر,7/8/2020,بودكاست مربَّع,3015,112,5,13,talkshow
36,j5VEYV7Qipg,"""في روايتي الأخيرة، لما قسيت على البطل.. بكيت"" عن الرواية والأدب، مع الروائي طاهر الزهراني",12/6/2018,بودكاست مربَّع,890,30,0,2,talkshow
37,#NAME?,"١١- حديث عن “الفلوس” مع مليونير بالعشرينات من العمر، يدير في شركاته أكثر من مليار ريال",3/7/2019,بودكاست مربَّع,12429,309,37,33,talkshow
38,PvAr5B5pBiI,بودكاست مربع |  داخل عالم التطوع مع مؤسس فريق رواء.. مؤيد قشقري,11/7/2019,بودكاست مربَّع,2743,105,2,21,talkshow
39,sZ2JnFrxwgM,هل الشغف يأكِّل عيش؟ مع علي البحراني,8/15/2019,بودكاست مربَّع,7726,253,10,23,talkshow
40,cx9L52rhG-0,"""كنت الغواص السعودي المؤهل الوحيد في السبعينات"" كيف عاش أبو ابراهيم حياته مع الغوص،دراسة وشغفا وعملا",12/20/2018,بودكاست مربَّع,424,14,0,3,talkshow
41,exffgP24StY,بودكاست مربع | جلسة علاجية على الهواء! مع سندس ملائكة,8/13/2020,بودكاست مربَّع,15505,428,44,86,talkshow
42,JuAvjPh8fYk,٢٥: حياة طبيعية مع اكتئاب مزمن.. وفاء خالد,6/19/2019,بودكاست مربَّع,7409,146,8,23,talkshow
43,Go0FCN9a4-A,١٢- كيف تعلم معاذ الجهني بنفسه ليصنع من شغف البرمجة فرصا عظيمة له ولغيره,3/14/2019,بودكاست مربَّع,2639,83,4,6,talkshow
44,kNshvgZpkC8,"شبكات التواصل الاجتماعي، كذبة كبيرة؟ مع عبدالله العلاوي",10/28/2020,بودكاست مربَّع,15770,435,26,34,talkshow
45,RTKVcJ47qPs,بودكاست مربع | بعد أن تصبح مشلولًا في حادث مميت.. كيف تعيش؟.. مع عبدالعزيز القحطاني,4/2/2020,بودكاست مربَّع,2536,104,1,11,talkshow
46,C5UeZA57m4M,لازلنا نهتدي بالنجوم! كل يوم!.. مع ملهم هندي,9/2/2020,بودكاست مربَّع,4736,167,10,24,talkshow
47,nW6_68miMxQ,سيرة فنان لن تنساه مكة.. مع ضياء عزيز ضياء,12/2/2020,بودكاست مربَّع,4477,154,9,23,talkshow
48,0N6nSc3nHDA,١٣- أبوجاسم يجيب على السؤال الخطير: هل الدين علم؟ ويتهم نظرية التطور بأنها علم زائف!,3/21/2019,بودكاست مربَّع,6916,251,14,58,talkshow
49,txjqw39fELs,مشهور الدبيان: أنا لا أخجل من الماضي في القيمرز وسوالف بزنس جاء نتيجة توجهي وتفرغي للتجارة,8/15/2020,معالي المواطن,144748,5855,146,457,talkshow
50,XrWL3hDtAjQ,حسام باعظيم أخصائي التخاطب: التأتأة قد تنتهي بشكل مفاجئ.. وهذا علاجها,10/29/2019,معالي المواطن,139580,3241,87,867,talkshow
51,9k6xm_Q3o30,العجوني: اشتريت ببغاء عشان يقلد أصوات لكن..!!,9/12/2020,معالي المواطن,237643,2466,119,86,talkshow
52,b0qxEdS_wLk,كيف بدأ وليد العواجي فن الخدع البصرية؟,2/5/2021,معالي المواطن,35372,257,12,24,talkshow
53,GFRgg6-4_Jg,الكابتن الغامدي: بكيت بسبب عدم قبولي في كلية الملك فيصل الجوية ولكن..,8/29/2020,معالي المواطن,17892,261,5,43,talkshow
54,JcDW4uWLoc8,"خدعة  ""ربيع الربيعان"" الجديدة تُذهل العلياني",2/5/2021,معالي المواطن,48952,330,20,34,talkshow
55,qZ-d5yclKII,قصة سعودي زرع الحيرة بين الأجهزة الأمنية الأمريكية,4/18/2018,معالي المواطن,11937,167,5,24,talkshow
56,VFokraFGVYE,متى أعرف أني مكتئب؟,10/15/2019,معالي المواطن,13947,240,10,49,talkshow
57,xHIJuo2338E,"الطفل ""وليد العواجي"" يُبهر علي العلياني",2/5/2021,معالي المواطن,73382,506,36,128,talkshow
58,awytQX-vb7o,"سالم العتيبي حارس أمن: أنا خريج محاسبة مالية، وأستلم راتب قرابة 4 آلاف ريال.",10/16/2018,معالي المواطن,30300,324,18,105,talkshow
59,kEoXGbL5S-s,"أغنية ""زين سويت"" الفنان نايف البدر",4/2/2021,معالي المواطن,31177,402,9,48,talkshow
